match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-438499390,11/25/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Thailand,Tanzania,"Terdthai Cricket Ground, Bangkok",Bangkok,Tanzania,field,Thailand,unknown,T20,Thailand,110,6,20.8,Tanzania,59,10,20.3,2025,11,Thailand,Tanzania,110,59,completed,1664.379924,1617.315134,47.06478992,0.7,0.4,0.75,0.35,0.5
-920084250,11/25/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Uganda,United Arab Emirates,"Asian Institute of Technology Ground, Bangkok",Bangkok,United Arab Emirates,field,United Arab Emirates,unknown,T20,Uganda,75,8,20.8,United Arab Emirates,76,0,9,2025,11,Uganda,United Arab Emirates,75,76,completed,1735.052142,1641.983791,93.0683503,0.6,0.4,0.8,0.5,0.666666667
-830823281,11/25/2025,2025,Pakistan T20I Tri-Series,FALSE,,Zimbabwe,Sri Lanka,Rawalpindi Cricket Stadium,Rawalpindi,Zimbabwe,bat,Sri Lanka,unknown,T20,Zimbabwe,146,5,20.5,Sri Lanka,148,1,17.3,2025,11,Zimbabwe,Sri Lanka,146,148,completed,1659.678889,1628.532015,31.14687362,0.2,0.1,0.6,0.45,0.428571429
-545742666,11/25/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Namibia,Scotland,"Asian Institute of Technology Ground, Bangkok",Bangkok,Scotland,field,Scotland,unknown,T20,Namibia,74,10,17.8,Scotland,76,3,9.3,2025,11,Namibia,Scotland,74,76,completed,1616.313483,1706.731531,-90.41804857,0.2,1,0.4,0.8,0.5
-772796777,11/25/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Papua New Guinea,Netherlands,"Terdthai Cricket Ground, Bangkok",Bangkok,Papua New Guinea,bat,Papua New Guinea,unknown,T20,Papua New Guinea,126,2,20.3,Netherlands,118,9,20.5,2025,11,Papua New Guinea,Netherlands,126,118,completed,1578.508305,1689.265211,-110.7569056,0.4,0.5,0.4,0.55,0.333333333
-201460575,11/25/2025,2025,Mini SEA Men's Twenty20 Cricket Competition,FALSE,,Bahrain,Malaysia,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,field,Malaysia,unknown,T20,Bahrain,107,9,20.2,Malaysia,108,6,20.2,2025,11,Bahrain,Malaysia,107,108,completed,1670.765862,1562.621857,108.1440053,1,0.1,1,0.45,0.555555556
-435904507,11/26/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Netherlands,Namibia,"Terdthai Cricket Ground, Bangkok",Bangkok,Namibia,field,Netherlands,unknown,T20,Netherlands,164,6,21.2,Namibia,113,10,16.8,2025,11,Netherlands,Namibia,164,113,completed,1668.330699,1604.385863,63.94483534,0.5,0.2,0.45,0.3,0.777777778
-347837574,11/26/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Papua New Guinea,Scotland,"Asian Institute of Technology Ground, Bangkok",Bangkok,Papua New Guinea,bat,Scotland,unknown,T20,Papua New Guinea,118,8,21.8,Scotland,121,4,19.8,2025,11,Papua New Guinea,Scotland,118,121,completed,1599.442817,1718.65915,-119.2163335,0.4,1,0.4,0.8,0.285714286
-171179127,11/26/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Tanzania,United Arab Emirates,"Terdthai Cricket Ground, Bangkok",Bangkok,Tanzania,bat,United Arab Emirates,unknown,T20,Tanzania,46,10,17.5,United Arab Emirates,50,3,7.2,2025,11,Tanzania,United Arab Emirates,46,50,completed,1603.469387,1662.170093,-58.70070627,0.4,0.4,0.25,0.5,0.5
3342361103,11/26/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Uganda,Thailand,"Asian Institute of Technology Ground, Bangkok",Bangkok,Thailand,field,Thailand,unknown,T20,Uganda,55,10,19.8,Thailand,58,2,9.3,2025,11,Uganda,Thailand,55,58,completed,1714.86584,1678.225671,36.64016892,0.4,0.7,0.7,0.75,0
6465136470,11/27/2025,2025,Mini SEA Men's Twenty20 Cricket Competition,FALSE,,Thailand,Bahrain,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bahrain,field,,no result,T20,Thailand,76,7,17.8,,,,,2025,11,Thailand,Bahrain,76,0,no result,1695.906786,1649.940485,45.96630063,0.7,0.8,0.75,0.9,1
-540687692,11/27/2025,2025,Ireland tour of Bangladesh,FALSE,,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh,field,Ireland,unknown,T20,Ireland,181,4,20.2,Bangladesh,142,9,21.7,2025,11,Ireland,Bangladesh,181,142,completed,1743.936203,1573.226881,170.7093222,0.6,0,0.7,0.35,0.4
8166786150,11/27/2025,2025,Myanmar Women tour of Singapore,FALSE,,Singapore,Myanmar,Singapore National Cricket Ground,Singapore,Myanmar,field,Myanmar,unknown,T20,Singapore,84,4,18.8,Myanmar,57,0,7.2,2025,11,Singapore,Myanmar,84,57,completed,1391.430047,1438.322384,-46.89233671,0.6,0.6,0.5,0.6,0.125
4512022157,11/27/2025,2025,Pakistan T20I Tri-Series,FALSE,,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,field,Sri Lanka,unknown,T20,Sri Lanka,184,5,21.2,Pakistan,178,7,21.3,2025,11,Sri Lanka,Pakistan,184,178,completed,1645.962551,1734.227974,-88.26542245,0.3,1,0.45,0.7,0.384615385
3164795767,11/28/2025,2025,Brazil tour of Argentina,FALSE,,Brazil,Argentina,"St Albans Club, Buenos Aires",Buenos Aires,Brazil,bat,Argentina,unknown,T20,Brazil,109,8,20.8,Argentina,110,2,15.7,2025,11,Brazil,Argentina,109,110,completed,1500.796411,1435.253727,65.54268382,0.8,0.2,0.7,0.4,0.833333333
-261877942,11/28/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Netherlands,Scotland,"Terdthai Cricket Ground, Bangkok",Bangkok,Netherlands,bat,Netherlands,unknown,T20,Netherlands,148,7,21.5,Scotland,121,8,20.3,2025,11,Netherlands,Scotland,148,121,completed,1681.418736,1729.374817,-47.95608157,0.6,1,0.45,0.8,0.428571429
4095795492,11/28/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Papua New Guinea,Namibia,"Asian Institute of Technology Ground, Bangkok",Bangkok,Namibia,field,Papua New Guinea,unknown,T20,Papua New Guinea,94,7,21,Namibia,93,7,20.7,2025,11,Papua New Guinea,Namibia,94,93,completed,1588.72715,1591.297826,-2.570676372,0.4,0.2,0.3,0.2,0.75
5220505836,11/28/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Tanzania,Uganda,"Asian Institute of Technology Ground, Bangkok",Bangkok,Uganda,field,Uganda,unknown,T20,Tanzania,54,10,20.8,Uganda,55,3,13.2,2025,11,Tanzania,Uganda,54,55,completed,1590.147222,1697.184726,-107.0375032,0.2,0.2,0.25,0.6,0.333333333
-633249547,11/28/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,United Arab Emirates,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,field,United Arab Emirates,unknown,T20,United Arab Emirates,80,10,20.7,Thailand,73,10,19.7,2025,11,United Arab Emirates,Thailand,80,73,completed,1675.492257,1693.802224,-18.30996706,0.6,0.8,0.5,0.7,0.375
-838179266,11/29/2025,2025,Brazil tour of Argentina,FALSE,,Brazil,Argentina,"St Albans Club, Buenos Aires",Buenos Aires,Brazil,bat,,no result,T20,Brazil,108,10,20.3,Argentina,9,0,1.2,2025,11,Brazil,Argentina,108,9,no result,1481.813362,1454.236777,27.57658544,0.8,0.2,0.6,0.4,0.714285714
1155657635,11/29/2025,2025,Ireland tour of Bangladesh,FALSE,,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Ireland,bat,Bangladesh,unknown,T20,Ireland,170,6,20.8,Bangladesh,174,6,20.3,2025,11,Ireland,Bangladesh,170,174,completed,1752.651722,1564.511362,188.1403602,0.6,0,0.7,0.25,0.454545455
-725565054,11/29/2025,2025,Pakistan T20I Tri-Series,FALSE,Final,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,field,Pakistan,unknown,T20,Sri Lanka,114,10,20,Pakistan,118,4,19,2025,11,Sri Lanka,Pakistan,114,118,completed,1665.942077,1714.248448,-48.30637152,0.5,0.8,0.55,0.7,0.428571429
